slice dt iso,temperature,rain,verkeersdatum_ams,aankomststationVerkorting,vertrekstationVerkorting,classificatie,vertrekmoment_utc,morning_rush_hour_dummy,evening_rush_hour_dummy,weekend_dummy
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 06:34:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 07:04:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 12:50:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 17:34:00+00:00,0,1,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 20:20:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 07:43:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 18:54:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 15:13:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 16:43:00+00:00,0,1,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 17:13:00+00:00,0,1,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 20:04:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 13:54:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 21:24:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 06:04:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 08:04:00+00:00,1,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 04:20:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 06:50:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 08:20:00+00:00,1,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 12:34:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 13:04:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 14:34:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 20:50:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 08:54:00+00:00,1,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 16:13:00+00:00,0,1,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 20:43:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 08:34:00+00:00,1,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 04:51:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,ZVT,OVN,1,2021-07-12 18:20:00+00:00,0,0,1
2021-07-12,16.9071875,0.044479166666666674,2021-07-12,OVN,ZVT,1,2021-07-12 09:54:00+00:00,1,0,1
